session_id	session_ref	session_track	session_type	session_title	chair	chair_affiliation	discussant	discussant_affiliation	abstract_id
4823	PS1 Roundtable	Political Science as a Discipline	Roundtable	Journal Publishing: Finding the Right Outlet for your Research and Avoiding Desk Rejections	Brandon Prins	University of Tennessee-Knoxville, USA	Scott Gates	University of Oslo, Norway	133452
4555	CP17	Comparative Politics	Panel	Electoral and party system origins	Damien Bol	King’s College London, United Kingdom	Damien Bol	King's College London, United Kingdom	86598
4555	CP17	Comparative Politics	Panel	Electoral and party system origins	Damien Bol	King’s College London, United Kingdom	Damien Bol	King's College London, United Kingdom	78993
4555	CP17	Comparative Politics	Panel	Electoral and party system origins	Damien Bol	King’s College London, United Kingdom	Damien Bol	King's College London, United Kingdom	85712
4555	CP17	Comparative Politics	Panel	Electoral and party system origins	Damien Bol	King’s College London, United Kingdom	Damien Bol	King's College London, United Kingdom	85454
4555	CP17	Comparative Politics	Panel	Electoral and party system origins	Damien Bol	King’s College London, United Kingdom	Damien Bol	King's College London, United Kingdom	86255
4538	EL49	Elections, Public Opinion, and Voting Behaviour	Panel	Emotions and Voting II	Magdelina Kitanova	University of Southampton, United Kingdom	Ferran M i Coma	Griffith, Australia	87064
4538	EL49	Elections, Public Opinion, and Voting Behaviour	Panel	Emotions and Voting II	Magdelina Kitanova	University of Southampton, United Kingdom	Ferran M i Coma	Griffith, Australia	85846
4538	EL49	Elections, Public Opinion, and Voting Behaviour	Panel	Emotions and Voting II	Magdelina Kitanova	University of Southampton, United Kingdom	Ferran M i Coma	Griffith, Australia	86584
4538	EL49	Elections, Public Opinion, and Voting Behaviour	Panel	Emotions and Voting II	Magdelina Kitanova	University of Southampton, United Kingdom	Ferran M i Coma	Griffith, Australia	86412
4537	EL48	Elections, Public Opinion, and Voting Behaviour	Panel	Influences on policy positions	Arndt Leininger	Free University of Berlin, Germany	Damien Bol	King's College London, United Kingdom	86289
4537	EL48	Elections, Public Opinion, and Voting Behaviour	Panel	Influences on policy positions	Arndt Leininger	Free University of Berlin, Germany	Damien Bol	King's College London, United Kingdom	85873
4537	EL48	Elections, Public Opinion, and Voting Behaviour	Panel	Influences on policy positions	Arndt Leininger	Free University of Berlin, Germany	Damien Bol	King's College London, United Kingdom	85810
4537	EL48	Elections, Public Opinion, and Voting Behaviour	Panel	Influences on policy positions	Arndt Leininger	Free University of Berlin, Germany	Damien Bol	King's College London, United Kingdom	86318
4536	PE31	Political Economy	Panel	Support for costly policies	Michael Bechtel	Washington University in St Louis, USA	Federica Genovese	University of Essex, United Kingdom	86548
4536	PE31	Political Economy	Panel	Support for costly policies	Michael Bechtel	Washington University in St Louis, USA	Federica Genovese	University of Essex, United Kingdom	85848
4536	PE31	Political Economy	Panel	Support for costly policies	Michael Bechtel	Washington University in St Louis, USA	Federica Genovese	University of Essex, United Kingdom	83943
4536	PE31	Political Economy	Panel	Support for costly policies	Michael Bechtel	Washington University in St Louis, USA	Federica Genovese	University of Essex, United Kingdom	83432
4536	PE31	Political Economy	Panel	Support for costly policies	Michael Bechtel	Washington University in St Louis, USA	Federica Genovese	University of Essex, United Kingdom	85992
4519	CP4	Comparative Politics	Panel	Political Economy of Hybrid Regimes	Amy (Yunyu) Chiang	University of Pittsburgh, USA	Francesc Amat	IPERG-University of Barcelona	85788
4519	CP4	Comparative Politics	Panel	Political Economy of Hybrid Regimes	Amy (Yunyu) Chiang	University of Pittsburgh, USA	Francesc Amat	IPERG-University of Barcelona	85835
4519	CP4	Comparative Politics	Panel	Political Economy of Hybrid Regimes	Amy (Yunyu) Chiang	University of Pittsburgh, USA	Francesc Amat	IPERG-University of Barcelona	85978
4519	CP4	Comparative Politics	Panel	Political Economy of Hybrid Regimes	Amy (Yunyu) Chiang	University of Pittsburgh, USA	Francesc Amat	IPERG-University of Barcelona	86009
4428	CP19	Comparative Politics	Panel	Protest and mobilization	Katerina Tertytchnaya	University College London, United Kingdom	David Marshall	University of Reading, United Kingdom	83503
4428	CP19	Comparative Politics	Panel	Protest and mobilization	Katerina Tertytchnaya	University College London, United Kingdom	David Marshall	University of Reading, United Kingdom	84383
4428	CP19	Comparative Politics	Panel	Protest and mobilization	Katerina Tertytchnaya	University College London, United Kingdom	David Marshall	University of Reading, United Kingdom	86020
4428	CP19	Comparative Politics	Panel	Protest and mobilization	Katerina Tertytchnaya	University College London, United Kingdom	David Marshall	University of Reading, United Kingdom	86044
4427	CP18	Comparative Politics	Panel	Technocrats, bureaucrats, and judges	Michael Jankowski	Oldenburg University, Germany	Annabelle Wittels	University College, London, United Kingdom	82571
4427	CP18	Comparative Politics	Panel	Technocrats, bureaucrats, and judges	Michael Jankowski	Oldenburg University, Germany	Annabelle Wittels	University College, London, United Kingdom	84663
4427	CP18	Comparative Politics	Panel	Technocrats, bureaucrats, and judges	Michael Jankowski	Oldenburg University, Germany	Annabelle Wittels	University College, London, United Kingdom	86415
4427	CP18	Comparative Politics	Panel	Technocrats, bureaucrats, and judges	Michael Jankowski	Oldenburg University, Germany	Annabelle Wittels	University College, London, United Kingdom	85911
4426	CP16	Comparative Politics	Panel	New Directions in the Study of Regimes	Rachel McLellan	Princeton University, USA	Vanessa Alexandra Boese	Humboldt University, Germany	86568
4426	CP16	Comparative Politics	Panel	New Directions in the Study of Regimes	Rachel McLellan	Princeton University, USA	Vanessa Alexandra Boese	Humboldt University, Germany	76323
4426	CP16	Comparative Politics	Panel	New Directions in the Study of Regimes	Rachel McLellan	Princeton University, USA	Vanessa Alexandra Boese	Humboldt University, Germany	84433
4426	CP16	Comparative Politics	Panel	New Directions in the Study of Regimes	Rachel McLellan	Princeton University, USA	Vanessa Alexandra Boese	Humboldt University, Germany	85815
4425	CP15	Comparative Politics	Panel	Politics of Ethnicity	Emmy Lindstam	University of Mannheim, Germany	Frank-Borge Wietzke	IBEI, Spain	86387
4425	CP15	Comparative Politics	Panel	Politics of Ethnicity	Emmy Lindstam	University of Mannheim, Germany	Frank-Borge Wietzke	IBEI, Spain	86497
4425	CP15	Comparative Politics	Panel	Politics of Ethnicity	Emmy Lindstam	University of Mannheim, Germany	Frank-Borge Wietzke	IBEI, Spain	85678
4425	CP15	Comparative Politics	Panel	Politics of Ethnicity	Emmy Lindstam	University of Mannheim, Germany	Frank-Borge Wietzke	IBEI, Spain	85683
4425	CP15	Comparative Politics	Panel	Politics of Ethnicity	Emmy Lindstam	University of Mannheim, Germany	Frank-Borge Wietzke	IBEI, Spain	86573
4424	CP14	Comparative Politics	Panel	Clientelism	Benjamin Laughlin	University of Pennsylvania, USA	Benjamin Laughlin	University of Pennsylvania, USA	86961
4424	CP14	Comparative Politics	Panel	Clientelism	Benjamin Laughlin	University of Pennsylvania, USA	Benjamin Laughlin	University of Pennsylvania, USA	87062
4424	CP14	Comparative Politics	Panel	Clientelism	Benjamin Laughlin	University of Pennsylvania, USA	Benjamin Laughlin	University of Pennsylvania, USA	77725
4423	CP13	Comparative Politics	Panel	F**kin' Internet	Constantine Boussalis	Trinity College, Dublin, Ireland	Constantine Boussalis	Trinity College, Dublin, Ireland	84425
4423	CP13	Comparative Politics	Panel	F**kin' Internet	Constantine Boussalis	Trinity College, Dublin, Ireland	Constantine Boussalis	Trinity College, Dublin, Ireland	84993
4423	CP13	Comparative Politics	Panel	F**kin' Internet	Constantine Boussalis	Trinity College, Dublin, Ireland	Constantine Boussalis	Trinity College, Dublin, Ireland	86517
4423	CP13	Comparative Politics	Panel	F**kin' Internet	Constantine Boussalis	Trinity College, Dublin, Ireland	Constantine Boussalis	Trinity College, Dublin, Ireland	86769
4422	CP12	Comparative Politics	Panel	Women and the Vote	Amanda Clayton	Vanderbilt University, USA	Amanda Clayton	Vanderbilt University, USA	85464
4422	CP12	Comparative Politics	Panel	Women and the Vote	Amanda Clayton	Vanderbilt University, USA	Amanda Clayton	Vanderbilt University, USA	86283
4422	CP12	Comparative Politics	Panel	Women and the Vote	Amanda Clayton	Vanderbilt University, USA	Amanda Clayton	Vanderbilt University, USA	87745
4422	CP12	Comparative Politics	Panel	Women and the Vote	Amanda Clayton	Vanderbilt University, USA	Amanda Clayton	Vanderbilt University, USA	85289
4421	CP11	Comparative Politics	Panel	Electoral Integrity and Violence	Ferran Martinez i Coma	Griffith University, Australia	Patrick Kuhn	University of Durham, United Kingdom	86471
4421	CP11	Comparative Politics	Panel	Electoral Integrity and Violence	Ferran Martinez i Coma	Griffith University, Australia	Patrick Kuhn	University of Durham, United Kingdom	84954
4421	CP11	Comparative Politics	Panel	Electoral Integrity and Violence	Ferran Martinez i Coma	Griffith University, Australia	Patrick Kuhn	University of Durham, United Kingdom	85297
4421	CP11	Comparative Politics	Panel	Electoral Integrity and Violence	Ferran Martinez i Coma	Griffith University, Australia	Patrick Kuhn	University of Durham, United Kingdom	86125
4420	CP10	Comparative Politics	Panel	Judicial Politics	Joan-Josep Vallbe	University of Barcelona, Spain	Jean Lacroix	Université libre de Bruxelles, Belgium	84679
4420	CP10	Comparative Politics	Panel	Judicial Politics	Joan-Josep Vallbe	University of Barcelona, Spain	Jean Lacroix	Université libre de Bruxelles, Belgium	86195
4420	CP10	Comparative Politics	Panel	Judicial Politics	Joan-Josep Vallbe	University of Barcelona, Spain	Jean Lacroix	Université libre de Bruxelles, Belgium	86207
4420	CP10	Comparative Politics	Panel	Judicial Politics	Joan-Josep Vallbe	University of Barcelona, Spain	Jean Lacroix	Université libre de Bruxelles, Belgium	77540
4420	CP10	Comparative Politics	Panel	Judicial Politics	Joan-Josep Vallbe	University of Barcelona, Spain	Jean Lacroix	Université libre de Bruxelles, Belgium	86159
4419	CP9	Comparative Politics	Panel	Left and Right in Comparative Perspective	Michael Laver	New York University, USA	Kenneth Benoit	London School of Economics and Political Science, United Kingdom	86546
4419	CP9	Comparative Politics	Panel	Left and Right in Comparative Perspective	Michael Laver	New York University, USA	Kenneth Benoit	London School of Economics and Political Science, United Kingdom	86464
4419	CP9	Comparative Politics	Panel	Left and Right in Comparative Perspective	Michael Laver	New York University, USA	Kenneth Benoit	London School of Economics and Political Science, United Kingdom	86315
4419	CP9	Comparative Politics	Panel	Left and Right in Comparative Perspective	Michael Laver	New York University, USA	Kenneth Benoit	London School of Economics and Political Science, United Kingdom	85704
4418	CP8	Comparative Politics	Panel	Transitions to Democracy	Alexander Baturo	Dublin City University, Ireland	Sebastian Ziaja	German Development Institute, Germany	82212
4418	CP8	Comparative Politics	Panel	Transitions to Democracy	Alexander Baturo	Dublin City University, Ireland	Sebastian Ziaja	German Development Institute, Germany	85664
4418	CP8	Comparative Politics	Panel	Transitions to Democracy	Alexander Baturo	Dublin City University, Ireland	Sebastian Ziaja	German Development Institute, Germany	85814
4418	CP8	Comparative Politics	Panel	Transitions to Democracy	Alexander Baturo	Dublin City University, Ireland	Sebastian Ziaja	German Development Institute, Germany	77175
4418	CP8	Comparative Politics	Panel	Transitions to Democracy	Alexander Baturo	Dublin City University, Ireland	Sebastian Ziaja	German Development Institute, Germany	85898
4417	CP7	Comparative Politics	Panel	(Mostly) Experimental Evidence on Immigration Politics	Dalston Ward	ETH Zurich, Switzerland	Max Schaub	WZB Berlin, Germany	81506
4417	CP7	Comparative Politics	Panel	(Mostly) Experimental Evidence on Immigration Politics	Dalston Ward	ETH Zurich, Switzerland	Max Schaub	WZB Berlin, Germany	85971
4417	CP7	Comparative Politics	Panel	(Mostly) Experimental Evidence on Immigration Politics	Dalston Ward	ETH Zurich, Switzerland	Max Schaub	WZB Berlin, Germany	86317
4417	CP7	Comparative Politics	Panel	(Mostly) Experimental Evidence on Immigration Politics	Dalston Ward	ETH Zurich, Switzerland	Max Schaub	WZB Berlin, Germany	86482
4417	CP7	Comparative Politics	Panel	(Mostly) Experimental Evidence on Immigration Politics	Dalston Ward	ETH Zurich, Switzerland	Max Schaub	WZB Berlin, Germany	88618
4416	CP6	Comparative Politics	Panel	Inequality and Attitudes	Christian Houle	Michigan State University, United Kingdom	Anthony McGann	University of Strathclyde, United Kingdom	84774
4416	CP6	Comparative Politics	Panel	Inequality and Attitudes	Christian Houle	Michigan State University, United Kingdom	Anthony McGann	University of Strathclyde, United Kingdom	85616
4416	CP6	Comparative Politics	Panel	Inequality and Attitudes	Christian Houle	Michigan State University, United Kingdom	Anthony McGann	University of Strathclyde, United Kingdom	86291
4416	CP6	Comparative Politics	Panel	Inequality and Attitudes	Christian Houle	Michigan State University, United Kingdom	Anthony McGann	University of Strathclyde, United Kingdom	86578
4416	CP6	Comparative Politics	Panel	Inequality and Attitudes	Christian Houle	Michigan State University, United Kingdom	Anthony McGann	University of Strathclyde, United Kingdom	84931
4415	CP5	Comparative Politics	Panel	Populism	Shane Reynolds	University of Limerick, Ireland	Daria Kazarinova	RUDN University, Russian Federation	76417
4415	CP5	Comparative Politics	Panel	Populism	Shane Reynolds	University of Limerick, Ireland	Daria Kazarinova	RUDN University, Russian Federation	82238
4415	CP5	Comparative Politics	Panel	Populism	Shane Reynolds	University of Limerick, Ireland	Daria Kazarinova	RUDN University, Russian Federation	86478
4415	CP5	Comparative Politics	Panel	Populism	Shane Reynolds	University of Limerick, Ireland	Daria Kazarinova	RUDN University, Russian Federation	85258
4414	CP3	Comparative Politics	Panel	Authoritarian Politics	Daniela Donno	University of Cyprus, Cyprus	Alexander Baturo	Dublin City University, Ireland	82207
4414	CP3	Comparative Politics	Panel	Authoritarian Politics	Daniela Donno	University of Cyprus, Cyprus	Alexander Baturo	Dublin City University, Ireland	84761
4414	CP3	Comparative Politics	Panel	Authoritarian Politics	Daniela Donno	University of Cyprus, Cyprus	Alexander Baturo	Dublin City University, Ireland	86582
4414	CP3	Comparative Politics	Panel	Authoritarian Politics	Daniela Donno	University of Cyprus, Cyprus	Alexander Baturo	Dublin City University, Ireland	91144
4413	CF18	International and Domestic Conflict	Panel	Predicting conflict	Macartan Humphreys	Wissenschaftszentrum Berlin für Sozialforschung, Germany	NA	NA	85584
4413	CF18	International and Domestic Conflict	Panel	Predicting conflict	Macartan Humphreys	Wissenschaftszentrum Berlin für Sozialforschung, Germany	NA	NA	86610
4413	CF18	International and Domestic Conflict	Panel	Predicting conflict	Macartan Humphreys	Wissenschaftszentrum Berlin für Sozialforschung, Germany	NA	NA	86632
4413	CF18	International and Domestic Conflict	Panel	Predicting conflict	Macartan Humphreys	Wissenschaftszentrum Berlin für Sozialforschung, Germany	NA	NA	86310
4413	CF18	International and Domestic Conflict	Panel	Predicting conflict	Macartan Humphreys	Wissenschaftszentrum Berlin für Sozialforschung, Germany	NA	NA	88439
4412	CF17	International and Domestic Conflict	Panel	Formal models of conflict	Thomas Chadefaux	Trinity College Dublin, Ireland	Casey Crisman-Cox	Texas A&M, USA	85972
4412	CF17	International and Domestic Conflict	Panel	Formal models of conflict	Thomas Chadefaux	Trinity College Dublin, Ireland	Casey Crisman-Cox	Texas A&M, USA	82250
4412	CF17	International and Domestic Conflict	Panel	Formal models of conflict	Thomas Chadefaux	Trinity College Dublin, Ireland	Casey Crisman-Cox	Texas A&M, USA	85796
4412	CF17	International and Domestic Conflict	Panel	Formal models of conflict	Thomas Chadefaux	Trinity College Dublin, Ireland	Casey Crisman-Cox	Texas A&M, USA	86424
4412	CF17	International and Domestic Conflict	Panel	Formal models of conflict	Thomas Chadefaux	Trinity College Dublin, Ireland	Casey Crisman-Cox	Texas A&M, USA	86520
4411	CF16	International and Domestic Conflict	Panel	Post-conflict reconstruction	Ravi Bhavnani	Graduate Institute, Switzerland	Kristin Bakke	University College London, United Kingdom	83356
4411	CF16	International and Domestic Conflict	Panel	Post-conflict reconstruction	Ravi Bhavnani	Graduate Institute, Switzerland	Kristin Bakke	University College London, United Kingdom	86059
4411	CF16	International and Domestic Conflict	Panel	Post-conflict reconstruction	Ravi Bhavnani	Graduate Institute, Switzerland	Kristin Bakke	University College London, United Kingdom	86091
4411	CF16	International and Domestic Conflict	Panel	Post-conflict reconstruction	Ravi Bhavnani	Graduate Institute, Switzerland	Kristin Bakke	University College London, United Kingdom	86158
4411	CF16	International and Domestic Conflict	Panel	Post-conflict reconstruction	Ravi Bhavnani	Graduate Institute, Switzerland	Kristin Bakke	University College London, United Kingdom	86644
4410	CF15	International and Domestic Conflict	Panel	Social unrest and civil resistance	Livia Schubiger	Duke University, USA	Denisa Kostovicova	London School of Economics and Political Science, United Kingdom	78363
4410	CF15	International and Domestic Conflict	Panel	Social unrest and civil resistance	Livia Schubiger	Duke University, USA	Denisa Kostovicova	London School of Economics and Political Science, United Kingdom	85652
4410	CF15	International and Domestic Conflict	Panel	Social unrest and civil resistance	Livia Schubiger	Duke University, USA	Denisa Kostovicova	London School of Economics and Political Science, United Kingdom	85817
4410	CF15	International and Domestic Conflict	Panel	Social unrest and civil resistance	Livia Schubiger	Duke University, USA	Denisa Kostovicova	London School of Economics and Political Science, United Kingdom	86490
4409	CF14	International and Domestic Conflict	Panel	Inequality and Conflict	Michael Colaresi	University of Pittsburgh, USA	Asli Cansunar	University of Oxford, United Kingdom	85916
4409	CF14	International and Domestic Conflict	Panel	Inequality and Conflict	Michael Colaresi	University of Pittsburgh, USA	Asli Cansunar	University of Oxford, United Kingdom	86043
4409	CF14	International and Domestic Conflict	Panel	Inequality and Conflict	Michael Colaresi	University of Pittsburgh, USA	Asli Cansunar	University of Oxford, United Kingdom	86499
4409	CF14	International and Domestic Conflict	Panel	Inequality and Conflict	Michael Colaresi	University of Pittsburgh, USA	Asli Cansunar	University of Oxford, United Kingdom	80029
4408	CF13	International and Domestic Conflict	Panel	Recruitment and civilian support in civil wars	Franziska Hohlstein	Albert-Ludwigs-Universität Freiburg, Germany	Matthew DiGiuseppe	Leiden University, Netherlands	75664
4408	CF13	International and Domestic Conflict	Panel	Recruitment and civilian support in civil wars	Franziska Hohlstein	Albert-Ludwigs-Universität Freiburg, Germany	Matthew DiGiuseppe	Leiden University, Netherlands	86496
4408	CF13	International and Domestic Conflict	Panel	Recruitment and civilian support in civil wars	Franziska Hohlstein	Albert-Ludwigs-Universität Freiburg, Germany	Matthew DiGiuseppe	Leiden University, Netherlands	89145
4408	CF13	International and Domestic Conflict	Panel	Recruitment and civilian support in civil wars	Franziska Hohlstein	Albert-Ludwigs-Universität Freiburg, Germany	Matthew DiGiuseppe	Leiden University, Netherlands	85792
4408	CF13	International and Domestic Conflict	Panel	Recruitment and civilian support in civil wars	Franziska Hohlstein	Albert-Ludwigs-Universität Freiburg, Germany	Matthew DiGiuseppe	Leiden University, Netherlands	86305
4407	CF12	International and Domestic Conflict	Panel	State Capacity and conflict	Frank-Borge Wietzke	IBEI, Spain	NA	NA	76317
4407	CF12	International and Domestic Conflict	Panel	State Capacity and conflict	Frank-Borge Wietzke	IBEI, Spain	NA	NA	86455
